DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-3153368,2022-10-11 08:47:58,GOOD,0-3153368,43.07854,5.98457
,,,,,
0-4408436,2022-10-11 08:45:50,LOW,0-4408436,43.07853,5.98457
,,,,,
0-4409666,2022-10-11 08:45:29,GOOD,0-4409666,43.08004,5.99924
,,,,,
0-4406439,2022-10-11 08:45:25,GOOD,0-4406439,43.0804,5.99967
,,,,,
0-4407230,2022-10-11 08:43:22,LOW,0-4407230,43.07827,5.98446
,,,,,
0-4410119,2022-10-11 08:43:02,GOOD,0-4410119,43.07828,5.9845
,,,,,
0-3153368,2022-10-11 08:42:57,GOOD,0-3153368,43.07833,5.98446
,,,,,
0-4408436,2022-10-11 08:40:50,LOW,0-4408436,43.07853,5.98431
,,,,,
0-4406439,2022-10-11 08:40:23,GOOD,0-4406439,43.08028,5.99931
,,,,,
0-4409666,2022-10-11 08:39:59,GOOD,0-4409666,43.08012,5.99896
,,,,,
0-4407230,2022-10-11 08:38:22,LOW,0-4407230,43.07908,5.98753
,,,,,
0-4410119,2022-10-11 08:38:04,GOOD,0-4410119,43.079,5.98832
,,,,,
0-3153368,2022-10-11 08:38:01,GOOD,0-3153368,43.07899,5.98849
,,,,,
0-4408436,2022-10-11 08:36:02,LOW,0-4408436,43.07939,5.99401
,,,,,
0-4406439,2022-10-11 08:35:25,GOOD,0-4406439,43.08017,5.99899
,,,,,
0-4409666,2022-10-11 08:34:57,GOOD,0-4409666,43.08006,5.99879
,,,,,
0-4407230,2022-10-11 08:33:21,LOW,0-4407230,43.07978,5.99881
,,,,,
0-4410119,2022-10-11 08:33:02,GOOD,0-4410119,43.07973,5.99877
,,,,,
0-3153368,2022-10-11 08:33:00,GOOD,0-3153368,43.07975,5.99884
,,,,,
0-4406439,2022-10-11 08:30:59,GOOD,0-4406439,43.08009,5.99875
,,,,,
0-4408436,2022-10-11 08:30:51,LOW,0-4408436,43.07978,5.99877
,,,,,
0-4409666,2022-10-11 08:30:34,GOOD,0-4409666,43.08014,5.99866
,,,,,
0-3153368,2022-10-11 08:29:13,GOOD,0-3153368,43.08002,5.99873
,,,,,
0-4406439,2022-10-11 08:29:12,GOOD,0-4406439,43.08014,5.99871
,,,,,
0-4409666,2022-10-11 08:28:43,GOOD,0-4409666,43.08019,5.99871
,,,,,
0-4407230,2022-10-11 08:28:21,LOW,0-4407230,43.08008,5.99872
,,,,,
0-4410119,2022-10-11 08:28:04,GOOD,0-4410119,43.08017,5.99881
,,,,,
0-4408436,2022-10-11 08:25:52,LOW,0-4408436,43.0808,6.00021
,,,,,
0-3153368,2022-10-11 08:24:13,GOOD,0-3153368,43.0835,6.0056
,,,,,
0-4406439,2022-10-11 08:24:12,GOOD,0-4406439,43.0846,6.00326
,,,,,
0-4409666,2022-10-11 08:23:43,GOOD,0-4409666,43.08281,6.00412
,,,,,
0-4407230,2022-10-11 08:23:22,GOOD,0-4407230,43.08332,6.00471
,,,,,
0-4410119,2022-10-11 08:23:04,GOOD,0-4410119,43.08206,6.0037
,,,,,
0-4408436,2022-10-11 08:20:51,LOW,0-4408436,43.08455,6.00417
,,,,,
0-3153368,2022-10-11 08:19:06,GOOD,0-3153368,43.08471,5.99976
,,,,,
